timestamp,latitude,longitude,temperature,air_quality
12/14/2018,51.5024848,16.0620494,8,51
2/22/2019,35.356644,111.22472,10,22
10/29/2019,39.3046388,23.2207655,63,13
11/15/2019,49.0285391,2.3236877,54,38
10/24/2019,18.2886378,-99.4526826,17,25
11/16/2019,30.453667,114.872199,18,10
4/14/2019,7.65,5.55,91,95
7/28/2019,49.2088164,7.0075837,21,42
2/2/2019,51.3531567,39.3015305,64,8
5/23/2019,59.3366653,18.0930966,37,35
7/29/2019,61.3602942,63.5639414,2,91
1/2/2019,-6.0776348,105.8936224,14,18
4/19/2019,-8.1401564,117.7901088,45,35
2/10/2019,59.6740144,16.7259208,44,99
3/21/2019,-8.0395,113.8512,22,41
7/9/2019,42.1241764,-80.08181,17,17
9/5/2019,37.932976,102.665494,20,33
8/24/2019,-6.7594317,111.4484559,11,95
11/16/2019,15.4728312,104.071515,55,65
9/11/2019,27.48051,110.942975,66,34
11/15/2019,12.5200531,124.5372661,15,86
1/29/2019,47.1427431,-122.4407344,34,49
7/17/2019,44.8119628,15.8685645,91,2
8/1/2019,34.8148172,135.7683696,13,57
3/6/2019,-28.292455,-49.9375873,59,13
8/29/2019,34.8742638,71.1537637,72,82
4/19/2019,-8.7035662,116.2245553,56,8
7/6/2019,-40.2458577,175.5482901,97,93
1/5/2019,14.5906311,121.0855062,74,66
6/25/2019,43.3182911,28.0224528,61,64
8/11/2019,52.1260857,19.0103213,14,48
8/7/2019,-8.2866081,111.5945271,40,99
7/24/2019,29.134418,115.762844,18,64
11/2/2019,10.3765284,106.3438891,22,76
8/16/2019,-3.9131671,103.7752634,62,44
12/22/2018,29.14583,48.09472,29,23
4/23/2019,55.6745195,12.6058056,81,11
6/17/2019,13.1029,123.6999,79,48
10/26/2019,41.5129877,-8.0907412,33,8
1/24/2019,34.497578,113.798718,69,55
5/28/2019,60.3588201,22.2240066,79,51
5/11/2019,6.3049636,7.5626411,31,86
10/1/2019,22.705124,113.316811,9,15
4/29/2019,19.63333,30.41667,49,74
5/4/2019,6.8907086,8.352656,72,70
4/8/2019,-6.9253999,113.9060624,31,29
2/3/2019,-7.340531,112.7077638,87,63
7/10/2019,50.6398985,15.8196702,37,91
7/14/2019,53.1844724,18.6045572,82,77
11/2/2019,39.8032712,113.9849159,57,2
6/29/2019,40.608793,115.099494,61,32
6/28/2019,38.8393743,-9.4606374,67,37
1/19/2019,34.06,-118.24,93,100
9/28/2019,32.7231719,110.060938,85,55
5/12/2019,1.6408734,-75.4111644,24,85
3/15/2019,30.128901,104.627636,22,54
8/26/2019,-0.2142002,-78.4989722,58,8
6/23/2019,13.4082642,-15.6082651,18,27
11/18/2019,35.089251,135.8827528,53,96
10/15/2019,50.2914556,15.4772549,74,19
7/25/2019,39.8319349,44.6635181,69,99
6/3/2019,56.5614229,52.9958953,79,97
7/17/2019,-7.0112331,108.4595045,82,31
7/5/2019,27.27476,-80.31823,34,84
1/16/2019,15.6562837,-91.7638749,49,37
8/27/2019,-8.5056516,117.5319733,4,11
2/12/2019,30.070933,118.181531,57,2
4/21/2019,39.8286146,69.5320824,68,12
7/25/2019,38.0244455,140.0946079,3,89
11/24/2018,55.2519048,52.5882232,14,38
12/27/2018,29.6211025,-95.2632201,20,51
9/15/2019,40.99849,111.1617,11,52
2/18/2019,14.86876,120.8294888,31,95
4/15/2019,47.61668,-57.61516,2,3
12/15/2018,39.08335,77.56662,58,4
2/18/2019,-13.7947125,-70.4719705,52,93
8/13/2019,-6.8921158,111.6526577,97,34
10/8/2019,36.7904088,138.7920847,76,13
6/8/2019,59.3582766,17.8838787,72,67
12/28/2018,32.276495,111.468844,72,4
9/23/2019,-21.3892337,-42.6945496,68,77
1/18/2019,-7.4951399,107.532764,63,62
10/18/2019,-7.683333,109.883333,9,34
5/27/2019,-6.2736138,106.6717451,93,1
8/22/2019,9.0144539,37.4494636,63,77
3/28/2019,40.1686749,-7.1721914,4,38
7/24/2019,5.9840985,116.0761121,8,28
12/3/2018,24.820587,103.323844,58,69
8/11/2019,-7.056066,108.4780523,21,58
4/15/2019,6.5163966,14.2919273,46,58
12/12/2018,29.859714,113.801133,99,68
12/13/2018,37.3844286,140.3940646,41,94
1/10/2019,27.335916,113.500997,28,80
12/7/2018,-22.4206096,-41.8625084,40,23
11/22/2018,16.7690892,120.3353957,87,65
12/25/2018,5.6979328,-55.220397,35,14
8/21/2019,48.6967162,26.5825364,54,87
2/28/2019,36.6484118,9.6146499,73,97
6/26/2019,7.4687521,146.139336,89,92
4/27/2019,-11.8163553,-75.4534081,99,67
5/3/2019,15.0796303,-85.5586368,84,34
11/13/2019,-7.9199459,113.8138552,86,54
11/20/2019,35.54729,65.5676,83,80
11/27/2018,50.7736289,14.4728422,71,80
2/9/2019,39.3915625,21.9245288,16,28
