timestamp,lat,long,temp,hum,PM1,pm2.5,pm10,New column,New column,New column,New column,New column,New column
12/22/2019 2:02 PM,48.5593277106804,-1.25095276266846,5.07896753637072,0,7,23,40,64,13,11,48,43,85
12/23/2019 8:24 PM,48.4926650274976,-1.0698086694208,0.317154004386232,0,6,5,48,93,15,94,25,38,95
12/21/2019 6:04 AM,48.3141575117196,-1.75003719876988,3.89442582935767,0,6,14,17,37,81,19,48,13,81
12/21/2019 1:28 AM,48.2903793483462,-1.18106542442975,12.4838248945232,0,17,2,23,18,45,82,29,0,19
12/1/2019 2:29 PM,48.9588785329642,-1.16302537646286,6.12126255692973,0,9,3,28,27,59,80,84,32,26
12/5/2019 3:22 PM,48.3235085934044,-1.00271270098291,-1.08379303900702,0,17,14,47,81,5,57,12,10,84
12/14/2019 7:13 AM,48.7306460098972,-1.47477756183351,-0.411608244018447,0,19,29,37,4,33,24,54,65,80
12/23/2019 7:39 PM,48.0613131956483,-1.83344800948792,10.2194566397087,0,13,22,23,80,82,44,63,42,97
12/18/2019 3:46 PM,48.9994648583231,-1.25830922986302,13.4794524505173,0,0,14,14,10,61,65,55,60,46
12/23/2019 1:45 PM,48.9812724827702,-1.50214116997185,13.2208501194701,0,12,3,34,23,4,4,9,41,13
12/5/2019 5:15 AM,48.9813434882003,-1.55408123813294,2.1939323079744,0,17,0,48,22,98,93,80,0,27
12/23/2019 9:47 AM,48.2029865445583,-1.21862960803259,-3.94314690536966,0,11,4,23,32,51,32,48,57,58
12/24/2019 6:07 PM,48.0082502085754,-1.85077428717668,4.24664194660571,0,4,2,6,38,71,42,58,69,20
12/2/2019 9:22 AM,48.6054076159398,-1.44107739554768,7.70254661361805,0,8,6,20,50,95,30,7,62,57
12/19/2019 5:18 PM,48.323539509123,-1.98722514602692,-3.39012766275095,0,14,23,18,52,34,41,80,11,44
12/9/2019 12:29 AM,48.6663529484842,-1.32956771893872,7.42193184672945,0,7,28,5,58,28,10,56,37,30
12/4/2019 4:27 PM,48.9229583372003,-1.13955238840522,12.1558848438579,0,9,28,8,30,60,26,55,23,27
12/10/2019 6:22 PM,48.735167957719,-1.32938467167755,10.2431029007971,0,16,12,40,31,54,54,47,15,65
12/1/2019 3:46 AM,48.91463436648,-1.22682469069344,11.9717671801205,0,11,10,5,99,33,34,80,83,87
12/4/2019 10:04 PM,48.7003174585757,-1.8468941631014,12.7648240648046,0,15,12,28,27,15,1,91,79,28
12/11/2019 12:51 AM,48.6818423418709,-1.6755566222945,11.9852680154076,0,14,19,13,52,0,8,13,55,17
12/26/2019 5:53 AM,48.2306215056361,-1.24078009009398,11.8365978476762,0,8,0,27,53,11,12,25,42,23
12/6/2019 5:20 PM,48.3134596782334,-1.87521805561856,-4.73752962599393,0,17,10,30,43,9,10,82,90,99
12/16/2019 5:29 PM,48.7780309243957,-1.90950612253952,9.40945525952124,0,16,21,16,98,9,90,3,48,59
12/3/2019 12:41 AM,48.4277553793172,-1.60592140704669,-2.55816422009755,0,6,10,21,70,43,25,36,20,78
12/18/2019 1:22 AM,48.2522678385732,-1.96160397583693,7.33945176160869,0,1,10,15,91,49,4,92,21,24
12/22/2019 7:57 AM,48.5763778637985,-1.71783702155474,7.54935983640578,0,10,24,34,2,2,64,7,18,50
12/8/2019 12:45 AM,48.9373106960847,-1.95659298820262,5.21722720852924,0,6,4,47,7,23,8,9,24,80
12/24/2019 8:25 PM,48.6548008023085,-1.35530937153628,0.886909088532864,0,19,22,35,98,68,57,20,4,46
12/19/2019 9:44 AM,48.5199808611162,-1.12635673215909,7.78876655911504,0,11,24,19,72,37,60,68,28,59
12/21/2019 7:44 AM,48.4234656511915,-1.5603710951099,14.3912049775902,0,17,1,38,19,34,12,3,92,97
12/8/2019 8:01 AM,48.2912052140065,-1.64418534871386,14.6177868068301,0,17,27,22,76,29,67,12,2,73
12/28/2019 9:53 PM,48.0686119753256,-1.94904754448172,-1.61897926107933,0,11,22,15,32,32,29,26,69,7
12/9/2019 5:27 AM,48.7621299902732,-1.41081305426118,-4.107634285515,0,0,0,9,4,31,46,78,36,87
12/24/2019 2:09 AM,48.5129434780744,-1.3825518807315,-2.55845338364991,0,8,13,47,44,69,49,55,92,37
12/4/2019 9:02 PM,48.2432090967163,-1.43520100621283,0.0139032462676537,0,10,26,40,30,18,6,86,97,79
12/19/2019 7:27 AM,48.2632262796458,-1.93178874064786,9.34452276134143,0,18,25,49,75,85,5,86,89,13
12/29/2019 1:20 PM,48.4841582567823,-1.37972507317538,7.25984748511568,0,12,17,6,74,78,45,46,40,44
12/21/2019 11:48 AM,48.9537091688037,-1.09325619418791,-3.55285069418738,0,4,29,42,84,6,98,35,99,40
12/23/2019 9:25 PM,48.1959490083139,-1.26469849481466,-0.0325344409945115,0,11,13,22,45,47,74,42,92,62
12/25/2019 1:33 PM,48.4229931577216,-1.26711483125906,0.680980756264637,0,2,14,49,69,73,6,33,20,99
12/19/2019 9:38 PM,48.5560504056309,-1.48225462226302,2.36833655385689,0,11,12,18,57,14,38,23,36,29
12/17/2019 1:26 PM,48.2901880574833,-1.53930293374662,10.7191844138872,0,8,6,46,0,90,94,46,14,56
12/21/2019 3:20 AM,48.2568660305146,-1.88518771523851,3.55204837655278,0,16,29,45,45,2,46,9,93,76
12/14/2019 6:44 AM,48.8973293653211,-1.49542336188975,2.67122121931576,0,18,2,39,61,39,25,53,19,90
12/19/2019 10:02 PM,48.5804909959345,-1.68678558137584,4.97513290260692,0,17,16,19,11,39,38,66,95,47
12/28/2019 3:44 AM,48.4335829966858,-1.82827701132199,0.065907458805436,0,18,26,1,14,46,24,55,30,37
12/14/2019 12:02 AM,48.3334633290458,-1.29420677586189,8.22644610992933,0,11,17,36,97,45,23,29,84,93
12/26/2019 6:01 AM,48.5061240822571,-1.49389618984139,-0.354321802199968,0,16,10,29,1,91,13,36,51,2
12/2/2019 12:28 AM,48.1780803004178,-1.83717686721924,-3.30806612517129,0,18,21,18,54,17,99,62,18,72
